lat,lng
28.439999999999998,77.21000000000001
28.439999999999998,77.22
28.439999999999998,77.23
28.439999999999998,77.24000000000001
28.439999999999998,77.25
28.439999999999998,77.26
28.439999999999998,77.27
28.439999999999998,77.28
28.439999999999998,77.29
28.439999999999998,77.3
28.439999999999998,77.31
28.439999999999998,77.32000000000001
28.439999999999998,77.33
28.439999999999998,77.34
28.439999999999998,77.35000000000001
28.439999999999998,77.36
28.439999999999998,77.37
28.439999999999998,77.38000000000001
28.439999999999998,77.39
28.439999999999998,77.4
28.45,76.85
28.45,76.86
28.45,76.86999999999999
28.45,76.88
28.45,76.89
28.45,76.89999999999999
28.45,76.91
28.45,76.92
28.45,76.92999999999999
28.45,76.94
28.45,76.95
28.45,76.96
28.45,76.97
28.45,76.98
28.45,76.99
28.45,77.0
28.45,77.00999999999999
28.45,77.02
28.45,77.03
28.45,77.03999999999999
28.45,77.05
28.45,77.06
28.45,77.07
28.45,77.08
28.45,77.09
28.45,77.1
28.45,77.11
28.45,77.12
28.45,77.13
28.45,77.14
28.45,77.15
28.45,77.16
28.45,77.17
28.45,77.18
28.45,77.19
28.45,77.2
28.45,77.21000000000001
28.45,77.22
28.45,77.23
28.45,77.24000000000001
28.45,77.25
28.45,77.26
28.45,77.27
28.45,77.28
28.45,77.29
28.45,77.3
28.45,77.31
28.45,77.32000000000001
28.45,77.33
28.45,77.34
28.45,77.35000000000001
28.45,77.36
28.45,77.37
28.45,77.38000000000001
28.45,77.39
28.45,77.4
28.459999999999997,76.85
28.459999999999997,76.86
28.459999999999997,76.86999999999999
28.459999999999997,76.88
28.459999999999997,76.89
28.459999999999997,76.89999999999999
28.459999999999997,76.91
28.459999999999997,76.92
28.459999999999997,76.92999999999999
28.459999999999997,76.94
28.459999999999997,76.95
28.459999999999997,76.96
28.459999999999997,76.97
28.459999999999997,76.98
28.459999999999997,76.99
28.459999999999997,77.0
28.459999999999997,77.00999999999999
28.459999999999997,77.02
28.459999999999997,77.03
28.459999999999997,77.03999999999999
28.459999999999997,77.05
28.459999999999997,77.06
28.459999999999997,77.07
28.459999999999997,77.08
28.459999999999997,77.09
28.459999999999997,77.1
28.459999999999997,77.11
28.459999999999997,77.12
28.459999999999997,77.13
28.459999999999997,77.14
28.459999999999997,77.15
28.459999999999997,77.16
28.459999999999997,77.17
28.459999999999997,77.18
28.459999999999997,77.19
28.459999999999997,77.2
28.459999999999997,77.21000000000001
28.459999999999997,77.22
28.459999999999997,77.23
28.459999999999997,77.24000000000001
28.459999999999997,77.25
28.459999999999997,77.26
28.459999999999997,77.27
28.459999999999997,77.28
28.459999999999997,77.29
28.459999999999997,77.3
28.459999999999997,77.31
28.459999999999997,77.32000000000001
28.459999999999997,77.33
28.459999999999997,77.34
28.459999999999997,77.35000000000001
28.459999999999997,77.36
28.459999999999997,77.37
28.459999999999997,77.38000000000001
28.459999999999997,77.39
28.459999999999997,77.4
28.47,76.85
28.47,76.86
28.47,76.86999999999999
28.47,76.88
28.47,76.89
28.47,76.89999999999999
28.47,76.91
28.47,76.92
28.47,76.92999999999999
28.47,76.94
28.47,76.95
28.47,76.96
28.47,76.97
28.47,76.98
28.47,76.99
28.47,77.0
28.47,77.00999999999999
28.47,77.02
28.47,77.03
28.47,77.03999999999999
28.47,77.05
28.47,77.06
28.47,77.07
28.47,77.08
28.47,77.09
28.47,77.1
28.47,77.11
28.47,77.12
28.47,77.13
28.47,77.14
28.47,77.15
28.47,77.16
28.47,77.17
28.47,77.18
28.47,77.19
28.47,77.2
28.47,77.21000000000001
28.47,77.22
28.47,77.23
28.47,77.24000000000001
28.47,77.25
28.47,77.26
28.47,77.27
28.47,77.28
28.47,77.29
28.47,77.3
28.47,77.31
28.47,77.32000000000001
28.47,77.33
28.47,77.34
28.47,77.35000000000001
28.47,77.36
28.47,77.37
28.47,77.38000000000001
28.47,77.39
28.47,77.4
28.479999999999997,76.85
28.479999999999997,76.86
28.479999999999997,76.86999999999999
28.479999999999997,76.88
28.479999999999997,76.89
28.479999999999997,76.89999999999999
28.479999999999997,76.91
28.479999999999997,76.92
28.479999999999997,76.92999999999999
28.479999999999997,76.94
28.479999999999997,76.95
28.479999999999997,76.96
28.479999999999997,76.97
28.479999999999997,76.98
28.479999999999997,76.99
28.479999999999997,77.0
28.479999999999997,77.00999999999999
28.479999999999997,77.02
28.479999999999997,77.03
28.479999999999997,77.03999999999999
28.479999999999997,77.05
28.479999999999997,77.06
28.479999999999997,77.07
28.479999999999997,77.08
28.479999999999997,77.09
28.479999999999997,77.1
28.479999999999997,77.11
28.479999999999997,77.12
28.479999999999997,77.13
28.479999999999997,77.14
28.479999999999997,77.15
28.479999999999997,77.16
28.479999999999997,77.17
28.479999999999997,77.18
28.479999999999997,77.19
28.479999999999997,77.2
28.479999999999997,77.21000000000001
28.479999999999997,77.22
28.479999999999997,77.23
28.479999999999997,77.24000000000001
28.479999999999997,77.25
28.479999999999997,77.26
28.479999999999997,77.27
28.479999999999997,77.28
28.479999999999997,77.29
28.479999999999997,77.3
28.479999999999997,77.31
28.479999999999997,77.32000000000001
28.479999999999997,77.33
28.479999999999997,77.34
28.479999999999997,77.35000000000001
28.479999999999997,77.36
28.479999999999997,77.37
28.479999999999997,77.38000000000001
28.479999999999997,77.39
28.479999999999997,77.4
28.49,76.85
28.49,76.86
28.49,76.86999999999999
28.49,76.88
28.49,76.89
28.49,76.89999999999999
28.49,76.91
28.49,76.92
28.49,76.92999999999999
28.49,76.94
28.49,76.95
28.49,76.96
28.49,76.97
28.49,76.98
